measure,metric,location,year,age,sex,category,val,lower,upper
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,30 to 34,Male,Cardiovascular diseases,301627.01634270855,293280.6530472906,307141.4620443904
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,35 to 39,Both,Cardiovascular diseases,542963.4488913956,529889.6965332858,555481.9688663568
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,35 to 39,Female,Cardiovascular diseases,242590.1496070237,236678.04498490389,248322.3467072486
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,35 to 39,Male,Cardiovascular diseases,303446.70196823764,297203.5283007836,309933.0124112663
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,40 to 44,Both,Cardiovascular diseases,606212.6807121033,585344.3108241496,623883.959148413
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,40 to 44,Female,Cardiovascular diseases,274673.6582624843,270181.89600850025,281752.1155379793
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,40 to 44,Male,Cardiovascular diseases,331986.1905101222,320545.9345022409,341471.58165380755
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,45 to 49,Both,Cardiovascular diseases,752557.5877931026,733312.2844016845,774677.0645112791
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,45 to 49,Female,Cardiovascular diseases,349306.07223136903,340946.3517948454,356624.40775307606
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,45 to 49,Male,Cardiovascular diseases,406808.6313774232,396532.80225032207,414878.1809734225
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,50 to 54,Both,Cardiovascular diseases,1084070.2349223797,1061440.7301130446,1107620.9023366952
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,50 to 54,Female,Cardiovascular diseases,509166.21872315934,498383.0338393475,522256.1645576905
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,50 to 54,Male,Cardiovascular diseases,580508.7998475861,568235.0983902835,592061.9272138695
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,55 to 59,Both,Cardiovascular diseases,900646.6463018238,883021.0034842454,929812.2673514714
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,55 to 59,Female,Cardiovascular diseases,430837.6798201334,418500.5926642913,443125.3683752831
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,55 to 59,Male,Cardiovascular diseases,470790.05598712765,452467.33883878874,484093.11595323257
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,60 to 64,Both,Cardiovascular diseases,943273.6050121838,914123.9398531864,966493.2654147841
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,60 to 64,Female,Cardiovascular diseases,455373.66341730533,443869.6601560849,469440.65873950045
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,60 to 64,Male,Cardiovascular diseases,482178.9771472385,473083.0474540836,491543.3485819297
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,65 to 69,Both,Cardiovascular diseases,941574.6729106924,923985.9231184291,961566.1998746597
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,65 to 69,Female,Cardiovascular diseases,467580.54106787825,453640.65434370557,482681.79348910134
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,65 to 69,Male,Cardiovascular diseases,468853.0118216923,458172.2668405809,480093.45253165415
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,70 to 74,Both,Cardiovascular diseases,843023.2622035736,821365.1785752282,875458.5078795531
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,70 to 74,Female,Cardiovascular diseases,439778.6938921492,424508.1508672475,451085.37290659634
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,70 to 74,Male,Cardiovascular diseases,403010.87719621335,393710.25671673357,414463.7317509365
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,75 to 79,Both,Cardiovascular diseases,659274.1457566053,642277.4812214521,675117.4589697495
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,75 to 79,Female,Cardiovascular diseases,377908.08636558603,368282.639777965,386837.81014768686
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,75 to 79,Male,Cardiovascular diseases,280269.70833854034,273419.93628360424,285609.7897872734
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,80 to 84,Both,Cardiovascular diseases,434702.05921513523,426670.25385658635,445759.92425587116
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,80 to 84,Female,Cardiovascular diseases,273489.88651633466,266031.5658427665,280593.66872778523
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,80 to 84,Male,Cardiovascular diseases,157250.96268802046,153108.55469976732,159230.51867222355
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,85 to 89,Both,Cardiovascular diseases,271043.65418225306,262744.98624888994,276292.5088700169
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,85 to 89,Female,Cardiovascular diseases,181097.80660421654,177125.51826918914,186041.53545488184
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,85 to 89,Male,Cardiovascular diseases,87227.2240109585,84693.87791824306,89274.50718753209
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,90 to 94,Both,Cardiovascular diseases,116611.61937151756,113718.83289666814,119749.09276802177
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,90 to 94,Female,Cardiovascular diseases,83078.2197931468,80900.31861460597,86132.56858022054
DALYs (Disability-Adjusted Life Years),Number,Japan,2001,90 to 94,Male,Cardiovascular diseases,31286.870164007927,30031.713221796585,32160.697809885678
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,25 to 29,Both,Cardiovascular diseases,435481.0703816275,419281.6052271405,446333.07404882903
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,25 to 29,Female,Cardiovascular diseases,185163.1541057234,180947.19696539437,190393.17607633324
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,25 to 29,Male,Cardiovascular diseases,255932.80351762904,248938.05970828846,262014.32401200692
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,30 to 34,Both,Cardiovascular diseases,540302.0023556794,527243.5773473077,553111.8497378463
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,30 to 34,Female,Cardiovascular diseases,235638.86231563022,230692.43150797178,242248.65938653657
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,30 to 34,Male,Cardiovascular diseases,306581.35493582935,299159.6820399986,313232.1733348031
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,35 to 39,Both,Cardiovascular diseases,558413.1182421729,544113.754682376,571640.1224711763
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,35 to 39,Female,Cardiovascular diseases,248070.05923501906,243578.9063201891,255349.93151879194
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,35 to 39,Male,Cardiovascular diseases,309121.00386234693,302489.1782554531,317010.6694072494
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,40 to 44,Both,Cardiovascular diseases,608528.9228943312,595906.8085913385,619712.4300440808
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,40 to 44,Female,Cardiovascular diseases,275887.61111445405,270242.5690193272,283539.21373589314
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,40 to 44,Male,Cardiovascular diseases,332327.87231460074,323077.4556435278,339500.3550937418
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,45 to 49,Both,Cardiovascular diseases,716837.3739864108,691351.0648070911,738260.9289593701
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,45 to 49,Female,Cardiovascular diseases,333109.2784692469,324026.6521027236,341038.6106300845
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,45 to 49,Male,Cardiovascular diseases,388718.1193590129,372837.67405517877,398774.68430075183
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,50 to 54,Both,Cardiovascular diseases,1045466.7462134053,1017275.9248620447,1070153.9213228305
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,50 to 54,Female,Cardiovascular diseases,489144.2514204868,477920.4838910139,500616.70401420316
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,50 to 54,Male,Cardiovascular diseases,556263.665091035,544256.5559624232,570750.7854222246
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,55 to 59,Both,Cardiovascular diseases,937838.2404507683,912650.9582661284,958644.2370071581
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,55 to 59,Female,Cardiovascular diseases,446855.2361939576,434737.50093419943,457701.58296215604
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,55 to 59,Male,Cardiovascular diseases,492369.9934935706,477659.29688322166,504185.550897744
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,60 to 64,Both,Cardiovascular diseases,968523.30122585,944182.1319618399,1000464.7878498327
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,60 to 64,Female,Cardiovascular diseases,467387.9904484336,459500.4875815583,484085.0470420591
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,60 to 64,Male,Cardiovascular diseases,494162.97970033286,486016.18573201884,504429.9464645572
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,65 to 69,Both,Cardiovascular diseases,949111.8285332165,923271.1262396635,978596.0442584417
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,65 to 69,Female,Cardiovascular diseases,476109.9345360936,462743.878261345,492293.91609885043
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,65 to 69,Male,Cardiovascular diseases,477155.75499887683,461538.6893351858,491151.3462366753
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,70 to 74,Both,Cardiovascular diseases,868345.5431575255,840934.416944404,884344.19307488
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,70 to 74,Female,Cardiovascular diseases,447655.33981858706,434943.3442696261,456727.4704905478
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,70 to 74,Male,Cardiovascular diseases,414242.94639106817,401109.26105432946,425955.2364386816
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,75 to 79,Both,Cardiovascular diseases,698151.1007040419,675873.2015542828,714867.8873576057
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,75 to 79,Female,Cardiovascular diseases,390986.8951176775,381396.8610892903,400780.81751079345
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,75 to 79,Male,Cardiovascular diseases,300563.64880175976,295683.1190388347,307089.10205354093
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,80 to 84,Both,Cardiovascular diseases,455759.9879434406,442196.80228160415,466198.4283613942
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,80 to 84,Female,Cardiovascular diseases,284113.7528972148,277151.4552449104,291335.8357500908
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,80 to 84,Male,Cardiovascular diseases,163459.61128084618,159974.56831817332,167576.55272274525
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,85 to 89,Both,Cardiovascular diseases,279360.39532868884,268107.74536552676,288064.6248962268
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,85 to 89,Female,Cardiovascular diseases,184942.61765077745,179389.95872153123,190136.11620529403
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,85 to 89,Male,Cardiovascular diseases,89841.41321949047,87206.17180680788,92237.15328313132
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,90 to 94,Both,Cardiovascular diseases,126330.47711614856,123893.99349255739,128918.76128574912
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,90 to 94,Female,Cardiovascular diseases,89903.15171683725,87039.77678748261,92068.04296532893
DALYs (Disability-Adjusted Life Years),Number,Japan,2002,90 to 94,Male,Cardiovascular diseases,33540.84204994423,32619.670793542886,34478.54645607899
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,25 to 29,Both,Cardiovascular diseases,415634.3652768678,406008.6292589911,428038.3025122679
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,25 to 29,Female,Cardiovascular diseases,176191.15885339788,169527.21484228052,181529.96718806896
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,25 to 29,Male,Cardiovascular diseases,244137.44218453413,235975.67889253696,252651.27026986505
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,30 to 34,Both,Cardiovascular diseases,549965.04082117,538117.4071936618,568555.3676320893
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,30 to 34,Female,Cardiovascular diseases,238906.3058608068,232959.41410289917,247006.8683755694
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,30 to 34,Male,Cardiovascular diseases,310109.09570330015,302536.7380389643,318390.9219762499
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,35 to 39,Both,Cardiovascular diseases,570910.045916176,559200.161669607,582016.9049451081
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,35 to 39,Female,Cardiovascular diseases,253081.278915906,247243.60276429786,259315.6307796245
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,35 to 39,Male,Cardiovascular diseases,317797.5365653569,307797.86643510294,325348.5604307926
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,40 to 44,Both,Cardiovascular diseases,608750.7098724683,592028.8340421498,621500.8610612345
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,40 to 44,Female,Cardiovascular diseases,278737.9400088313,271599.9541942883,285232.9383598575
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,40 to 44,Male,Cardiovascular diseases,334398.2381751089,323126.70526007726,345839.37444900564
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,45 to 49,Both,Cardiovascular diseases,697503.6152602485,677650.550483411,714197.9649826926
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,45 to 49,Female,Cardiovascular diseases,320979.8096150966,314349.56921726064,327654.55290459044
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,45 to 49,Male,Cardiovascular diseases,375205.69931302994,367656.87248151295,384114.62181989464
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,50 to 54,Both,Cardiovascular diseases,986055.9347793218,955275.268801894,1017129.183472717
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,50 to 54,Female,Cardiovascular diseases,459736.3928553912,446764.20884321816,467124.1254233477
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,50 to 54,Male,Cardiovascular diseases,526346.6385201099,513923.7357781117,534921.3420199461
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,55 to 59,Both,Cardiovascular diseases,993616.8378459722,967146.5826767476,1024590.1121659116
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,55 to 59,Female,Cardiovascular diseases,468461.4541505551,457493.31418896106,482117.1360723705
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,55 to 59,Male,Cardiovascular diseases,521740.2684829772,509032.5068507922,534462.7262409313
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,60 to 64,Both,Cardiovascular diseases,984671.1454484802,967206.1571321802,1005663.9941848336
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,60 to 64,Female,Cardiovascular diseases,477230.6170701753,461453.8472351928,489128.922798021
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,60 to 64,Male,Cardiovascular diseases,510600.88965103374,498228.6099596798,522287.09937248426
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,65 to 69,Both,Cardiovascular diseases,951120.9559226199,934485.8018464195,969690.4259678553
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,65 to 69,Female,Cardiovascular diseases,474620.9147239796,463010.12529794395,491007.1423056182
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,65 to 69,Male,Cardiovascular diseases,476916.2779424989,466874.94556397275,485919.9607431501
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,70 to 74,Both,Cardiovascular diseases,883454.2653197923,857602.2561324622,905469.4028681663
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,70 to 74,Female,Cardiovascular diseases,457056.3948279714,445700.94483769767,466158.4263314927
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,70 to 74,Male,Cardiovascular diseases,427384.7010875599,415370.81769798126,441829.89672486775
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,75 to 79,Both,Cardiovascular diseases,732252.9561172422,710037.4785653105,759158.5469237033
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,75 to 79,Female,Cardiovascular diseases,403391.29855185887,396156.4594216346,413911.96112107194
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,75 to 79,Male,Cardiovascular diseases,322876.00713468826,315196.20618672686,331194.8892395707
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,80 to 84,Both,Cardiovascular diseases,482011.04549581616,468064.10563753475,492605.60227460635
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,80 to 84,Female,Cardiovascular diseases,302351.6921378114,291588.033224555,310812.8238157924
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,80 to 84,Male,Cardiovascular diseases,172092.61869494568,166026.4636871477,177653.26162387594
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,85 to 89,Both,Cardiovascular diseases,287290.6337340692,280060.9638823153,297891.23882380995
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,85 to 89,Female,Cardiovascular diseases,190505.11726406205,185596.47940234307,195885.01698047106
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,85 to 89,Male,Cardiovascular diseases,90929.45667265395,88924.21011475255,92996.61218553115
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,90 to 94,Both,Cardiovascular diseases,134669.4983790323,131010.75075662724,137123.3598822616
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,90 to 94,Female,Cardiovascular diseases,96813.60649897209,94212.67542535577,98906.98681392989
DALYs (Disability-Adjusted Life Years),Number,Japan,2003,90 to 94,Male,Cardiovascular diseases,35647.43668653678,34292.1226372183,36553.90093106694
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,25 to 29,Both,Cardiovascular diseases,401183.249807736,388551.9006280379,410395.3620018007
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,25 to 29,Female,Cardiovascular diseases,166891.26850158535,162475.74859645334,172031.55122521476
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,25 to 29,Male,Cardiovascular diseases,231454.66671628645,224400.806462679,236598.94181493123
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,30 to 34,Both,Cardiovascular diseases,551844.9116444063,538759.4304270642,567204.2702894142
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,30 to 34,Female,Cardiovascular diseases,240833.97456927918,233681.99576565123,246204.1010593169
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,30 to 34,Male,Cardiovascular diseases,313518.41663993074,307549.5952037794,320344.2805683732
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,35 to 39,Both,Cardiovascular diseases,577926.8956903577,566495.7188976958,590088.9552784901
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,35 to 39,Female,Cardiovascular diseases,258843.4854374195,253849.65292045922,265221.52994285035
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,35 to 39,Male,Cardiovascular diseases,322098.4040680965,312726.4935036304,331697.90253624966
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,40 to 44,Both,Cardiovascular diseases,611721.764876527,594280.56260345,631556.7805557828
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,40 to 44,Female,Cardiovascular diseases,279095.2477069843,271989.2848207974,284536.1215448751
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,40 to 44,Male,Cardiovascular diseases,336086.26909407135,328311.5173852148,342725.79942872736
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,45 to 49,Both,Cardiovascular diseases,686563.3543377382,671792.3577886987,712015.8623374038
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,45 to 49,Female,Cardiovascular diseases,317450.6362223648,308817.4195241564,324174.3052914563
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,45 to 49,Male,Cardiovascular diseases,374177.02262647235,365011.3522688107,383640.3971734956
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,50 to 54,Both,Cardiovascular diseases,910865.1612266605,888646.4667065846,939213.1733519218
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,50 to 54,Female,Cardiovascular diseases,425459.91636978334,414071.85394806205,436682.7244435421
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,50 to 54,Male,Cardiovascular diseases,483781.1295850903,466372.052796458,499485.1707106377
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,55 to 59,Both,Cardiovascular diseases,1048642.6454398825,1025849.1967029665,1072470.2519312738
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,55 to 59,Female,Cardiovascular diseases,493214.46655339317,482782.5376203288,504760.49868163234
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,55 to 59,Male,Cardiovascular diseases,547626.5945695048,533645.3466044167,562856.7837452283
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,60 to 64,Both,Cardiovascular diseases,1029966.6313439317,1002567.9716805371,1061451.791887179
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,60 to 64,Female,Cardiovascular diseases,496809.0721579625,481001.5377015874,510284.6618647254
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,60 to 64,Male,Cardiovascular diseases,528532.8022844399,519382.7608625551,538133.7555696006
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,65 to 69,Both,Cardiovascular diseases,941909.5627129627,916584.3487909951,965746.8995675535
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,65 to 69,Female,Cardiovascular diseases,468640.8642712679,452003.8090989074,480449.4257773225
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,65 to 69,Male,Cardiovascular diseases,473120.20875428215,457536.89159537666,485832.1175388885
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,70 to 74,Both,Cardiovascular diseases,899458.4103730455,883522.814621378,918949.4104548569
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,70 to 74,Female,Cardiovascular diseases,463880.406572325,450256.6112781495,477056.5199186966
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,70 to 74,Male,Cardiovascular diseases,429292.4639245924,420220.67687491135,437719.048445206
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,75 to 79,Both,Cardiovascular diseases,760889.5649360459,746780.8446280675,771868.282264242
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,75 to 79,Female,Cardiovascular diseases,416811.9682389049,408593.0785320129,425910.2080488459
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,75 to 79,Male,Cardiovascular diseases,340690.37748524157,332217.3161279871,348309.7284630814
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,80 to 84,Both,Cardiovascular diseases,512052.7329284294,496657.44253405975,522118.2295366451
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,80 to 84,Female,Cardiovascular diseases,320379.29449616745,312536.5243184577,327911.93665708345
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,80 to 84,Male,Cardiovascular diseases,187279.47173241555,183116.17339135494,192161.63591678347
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,85 to 89,Both,Cardiovascular diseases,289440.50677106285,282218.8042657336,296082.8826625007
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,85 to 89,Female,Cardiovascular diseases,194414.76913718836,187035.53270691878,200652.63047158447
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,85 to 89,Male,Cardiovascular diseases,91766.20961495549,89889.43521212437,93612.98320617448
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,90 to 94,Both,Cardiovascular diseases,144085.11693435707,141602.6530221257,148788.1967389735
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,90 to 94,Female,Cardiovascular diseases,103261.76906799464,101265.24704273682,105784.75307702285
DALYs (Disability-Adjusted Life Years),Number,Japan,2004,90 to 94,Male,Cardiovascular diseases,37839.61673157977,36682.24545558066,39045.99326840167
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,25 to 29,Both,Cardiovascular diseases,379751.11330191774,369043.38477934967,389289.3887688807
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,25 to 29,Female,Cardiovascular diseases,159470.84157219663,155628.25423516455,162753.23640907748
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,25 to 29,Male,Cardiovascular diseases,223154.72849124754,216585.9816533263,229098.70615627128
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,30 to 34,Both,Cardiovascular diseases,551742.6941063302,539580.5465201368,564534.8364799583
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,30 to 34,Female,Cardiovascular diseases,237564.5064442008,231760.96463243995,245212.6479847258
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,30 to 34,Male,Cardiovascular diseases,312485.06897196796,303548.2960017505,321872.1709416803
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,35 to 39,Both,Cardiovascular diseases,587802.0047696185,576392.3556540497,601187.7133824332
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,35 to 39,Female,Cardiovascular diseases,261095.27395996373,254364.4452014526,267882.16645130387
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,35 to 39,Male,Cardiovascular diseases,325793.2274853146,316108.08862752724,336020.94158813095
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,40 to 44,Both,Cardiovascular diseases,624524.1424233322,606447.7250684256,640060.2004513576
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,40 to 44,Female,Cardiovascular diseases,281834.1709636517,274345.35695155023,290746.05148652697
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,40 to 44,Male,Cardiovascular diseases,343521.08426310314,337123.6558646297,353840.12502915325
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,45 to 49,Both,Cardiovascular diseases,678337.6757309005,666727.6785619399,696186.08272721
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,45 to 49,Female,Cardiovascular diseases,311658.33031739853,301876.4088587428,318799.4788409547
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,45 to 49,Male,Cardiovascular diseases,364604.1618836883,353275.21951071563,375726.36922032456
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,50 to 54,Both,Cardiovascular diseases,862238.0171443347,842368.3616464896,881942.9793852768
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,50 to 54,Female,Cardiovascular diseases,401567.7801287971,388059.9155948165,412402.49848907837
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,50 to 54,Male,Cardiovascular diseases,458826.4643952618,448856.02214956644,468866.3630449617
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,55 to 59,Both,Cardiovascular diseases,1106370.9662553368,1076224.2764196917,1137524.1475197154
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,55 to 59,Female,Cardiovascular diseases,521645.95881652145,506564.9977728826,533212.6379944737
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,55 to 59,Male,Cardiovascular diseases,582573.1007848071,569209.49472314,597380.6964523921
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,60 to 64,Both,Cardiovascular diseases,1003591.9580043742,977113.8660934775,1028384.754569702
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,60 to 64,Female,Cardiovascular diseases,485774.20137403,471163.46232983365,498359.2230617178
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,60 to 64,Male,Cardiovascular diseases,519254.6495936835,501193.7827893292,530700.2456353435
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,65 to 69,Both,Cardiovascular diseases,954290.6721869027,929268.5214907655,976908.8705414846
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,65 to 69,Female,Cardiovascular diseases,470880.705343561,459056.92319440085,487186.6533587919
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,65 to 69,Male,Cardiovascular diseases,483548.7042152966,470690.32922698936,497521.77104273473
DALYs (Disability-Adjusted Life Years),Number,Japan,2005,70 to 74,Both,Cardiovascular diseases,922251.815774114,902294.8903090784,939692.2953592644
