cause,location,sex,year,benchmark_rate,benchmark_lower,benchmark_upper,prev_group,next_group,prev_rate,next_rate,equivalent_age,lower_bound,upper_bound,equivalent_age_numeric,lower_bound_numeric,upper_bound_numeric
Age-related diseases,Japan,Both,2038,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20607.984282844773,22483.817734156713,72.54,72.50,72.61,72.54299472209728,72.49989596225231,72.60693495142021
Age-related diseases,Japan,Both,2039,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20607.984282844773,22483.817734156713,72.54,72.50,72.61,72.54299472209728,72.49989596225231,72.60693495142021
Age-related diseases,Japan,Both,2040,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20607.984282844773,22483.817734156713,72.54,72.50,72.61,72.54299472209728,72.49989596225231,72.60693495142021
Age-related diseases,Japan,Female,2022,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19897.51643158215,21670.866099892377,74.58,74.55,74.62,74.57755534714397,74.5509404247127,74.6186540633393
Age-related diseases,Japan,Female,2023,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19897.51643158215,21670.866099892377,74.58,74.55,74.62,74.57755534714397,74.5509404247127,74.6186540633393
Age-related diseases,Japan,Female,2024,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19897.51643158215,21670.866099892377,74.58,74.55,74.62,74.57755534714397,74.5509404247127,74.6186540633393
Age-related diseases,Japan,Female,2025,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19897.51643158215,21670.866099892377,74.58,74.55,74.62,74.57755534714397,74.5509404247127,74.6186540633393
Age-related diseases,Japan,Female,2026,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19897.51643158215,21670.866099892377,74.58,74.55,74.62,74.57755534714397,74.5509404247127,74.6186540633393
Age-related diseases,Japan,Female,2027,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19658.36824430414,21490.246742385134,75.15,75.12,75.19,75.14794232387136,75.11872596606783,75.19412656921335
Age-related diseases,Japan,Female,2028,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19658.36824430414,21490.246742385134,75.15,75.12,75.19,75.14794232387136,75.11872596606783,75.19412656921335
Age-related diseases,Japan,Female,2029,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19658.36824430414,21490.246742385134,75.15,75.12,75.19,75.14794232387136,75.11872596606783,75.19412656921335
Age-related diseases,Japan,Female,2030,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19658.36824430414,21490.246742385134,75.15,75.12,75.19,75.14794232387136,75.11872596606783,75.19412656921335
Age-related diseases,Japan,Female,2031,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19658.36824430414,21490.246742385134,75.15,75.12,75.19,75.14794232387136,75.11872596606783,75.19412656921335
Age-related diseases,Japan,Female,2032,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19460.56340441557,21325.478180448987,75.62,75.58,75.69,75.62250980182102,75.57924370336646,75.69006678027638
Age-related diseases,Japan,Female,2033,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19460.56340441557,21325.478180448987,75.62,75.58,75.69,75.62250980182102,75.57924370336646,75.69006678027638
Age-related diseases,Japan,Female,2034,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19460.56340441557,21325.478180448987,75.62,75.58,75.69,75.62250980182102,75.57924370336646,75.69006678027638
Age-related diseases,Japan,Female,2035,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19460.56340441557,21325.478180448987,75.62,75.58,75.69,75.62250980182102,75.57924370336646,75.69006678027638
Age-related diseases,Japan,Female,2036,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19460.56340441557,21325.478180448987,75.62,75.58,75.69,75.62250980182102,75.57924370336646,75.69006678027638
Age-related diseases,Japan,Female,2037,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19318.391605855242,21203.534389328597,75.96,75.90,76.04,75.9607244151483,75.89775577253978,76.03759057700462
Age-related diseases,Japan,Female,2038,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19318.391605855242,21203.534389328597,75.96,75.90,76.04,75.9607244151483,75.89775577253978,76.03759057700462
Age-related diseases,Japan,Female,2039,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19318.391605855242,21203.534389328597,75.96,75.90,76.04,75.9607244151483,75.89775577253978,76.03759057700462
Age-related diseases,Japan,Female,2040,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19318.391605855242,21203.534389328597,75.96,75.90,76.04,75.9607244151483,75.89775577253978,76.03759057700462
Age-related diseases,Japan,Male,2022,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20740.20302951867,22525.643240700934,67.20,67.18,67.22,67.20021613044645,67.18154303231934,67.22001075270558
Age-related diseases,Japan,Male,2023,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20740.20302951867,22525.643240700934,67.20,67.18,67.22,67.20021613044645,67.18154303231934,67.22001075270558
Age-related diseases,Japan,Male,2024,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20740.20302951867,22525.643240700934,67.20,67.18,67.22,67.20021613044645,67.18154303231934,67.22001075270558
Age-related diseases,Japan,Male,2025,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20740.20302951867,22525.643240700934,67.20,67.18,67.22,67.20021613044645,67.18154303231934,67.22001075270558
Age-related diseases,Japan,Male,2026,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20740.20302951867,22525.643240700934,67.20,67.18,67.22,67.20021613044645,67.18154303231934,67.22001075270558
Age-related diseases,Japan,Male,2027,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20481.194390167184,22291.72585181068,67.91,67.87,67.95,67.91272488879248,67.87112353250878,67.9465248624762
Age-related diseases,Japan,Male,2028,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20481.194390167184,22291.72585181068,67.91,67.87,67.95,67.91272488879248,67.87112353250878,67.9465248624762
Age-related diseases,Japan,Male,2029,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20481.194390167184,22291.72585181068,67.91,67.87,67.95,67.91272488879248,67.87112353250878,67.9465248624762
Age-related diseases,Japan,Male,2030,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20481.194390167184,22291.72585181068,67.91,67.87,67.95,67.91272488879248,67.87112353250878,67.9465248624762
Age-related diseases,Japan,Male,2031,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20481.194390167184,22291.72585181068,67.91,67.87,67.95,67.91272488879248,67.87112353250878,67.9465248624762
Age-related diseases,Japan,Male,2032,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20251.062993725183,22092.203040591183,68.52,68.48,68.57,68.52252085003823,68.47771231590694,68.56518885031457
Age-related diseases,Japan,Male,2033,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20251.062993725183,22092.203040591183,68.52,68.48,68.57,68.52252085003823,68.47771231590694,68.56518885031457
Age-related diseases,Japan,Male,2034,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20251.062993725183,22092.203040591183,68.52,68.48,68.57,68.52252085003823,68.47771231590694,68.56518885031457
Age-related diseases,Japan,Male,2035,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20251.062993725183,22092.203040591183,68.52,68.48,68.57,68.52252085003823,68.47771231590694,68.56518885031457
Age-related diseases,Japan,Male,2036,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20251.062993725183,22092.203040591183,68.52,68.48,68.57,68.52252085003823,68.47771231590694,68.56518885031457
Age-related diseases,Japan,Male,2037,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20050.433369116156,21922.116127712907,69.03,68.98,69.08,69.03363642409822,68.98415948809931,69.08220577706196
Age-related diseases,Japan,Male,2038,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20050.433369116156,21922.116127712907,69.03,68.98,69.08,69.03363642409822,68.98415948809931,69.08220577706196
Age-related diseases,Japan,Male,2039,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20050.433369116156,21922.116127712907,69.03,68.98,69.08,69.03363642409822,68.98415948809931,69.08220577706196
Age-related diseases,Japan,Male,2040,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20050.433369116156,21922.116127712907,69.03,68.98,69.08,69.03363642409822,68.98415948809931,69.08220577706196
Age-related diseases,Zimbabwe,Both,2022,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20491.760290990096,22263.96867944523,57.90,57.80,58.04,57.90265209965729,57.79744051798111,58.04067455587547
Age-related diseases,Zimbabwe,Both,2023,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20491.760290990096,22263.96867944523,57.90,57.80,58.04,57.90265209965729,57.79744051798111,58.04067455587547
Age-related diseases,Zimbabwe,Both,2024,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20491.760290990096,22263.96867944523,57.90,57.80,58.04,57.90265209965729,57.79744051798111,58.04067455587547
Age-related diseases,Zimbabwe,Both,2025,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20491.760290990096,22263.96867944523,57.90,57.80,58.04,57.90265209965729,57.79744051798111,58.04067455587547
Age-related diseases,Zimbabwe,Both,2026,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20491.760290990096,22263.96867944523,57.90,57.80,58.04,57.90265209965729,57.79744051798111,58.04067455587547
Age-related diseases,Zimbabwe,Both,2027,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20185.84949336706,22014.8243512536,58.71,58.62,58.86,58.71092653214514,58.618933418811224,58.85944429947156
Age-related diseases,Zimbabwe,Both,2028,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20185.84949336706,22014.8243512536,58.71,58.62,58.86,58.71092653214514,58.618933418811224,58.85944429947156
Age-related diseases,Zimbabwe,Both,2029,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20185.84949336706,22014.8243512536,58.71,58.62,58.86,58.71092653214514,58.618933418811224,58.85944429947156
Age-related diseases,Zimbabwe,Both,2030,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20185.84949336706,22014.8243512536,58.71,58.62,58.86,58.71092653214514,58.618933418811224,58.85944429947156
Age-related diseases,Zimbabwe,Both,2031,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,20185.84949336706,22014.8243512536,58.71,58.62,58.86,58.71092653214514,58.618933418811224,58.85944429947156
Age-related diseases,Zimbabwe,Both,2032,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19906.186989981117,21752.723934635156,59.45,59.35,59.60,59.45191635132025,59.34640730798864,59.597970369007705
Age-related diseases,Zimbabwe,Both,2033,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19906.186989981117,21752.723934635156,59.45,59.35,59.60,59.45191635132025,59.34640730798864,59.597970369007705
Age-related diseases,Zimbabwe,Both,2034,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19906.186989981117,21752.723934635156,59.45,59.35,59.60,59.45191635132025,59.34640730798864,59.597970369007705
Age-related diseases,Zimbabwe,Both,2035,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19906.186989981117,21752.723934635156,59.45,59.35,59.60,59.45191635132025,59.34640730798864,59.597970369007705
Age-related diseases,Zimbabwe,Both,2036,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19906.186989981117,21752.723934635156,59.45,59.35,59.60,59.45191635132025,59.34640730798864,59.597970369007705
Age-related diseases,Zimbabwe,Both,2037,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19676.17436236539,21517.16385467584,60.08,59.98,60.22,60.08400308079291,59.97677133751788,60.2225909565744
Age-related diseases,Zimbabwe,Both,2038,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19676.17436236539,21517.16385467584,60.08,59.98,60.22,60.08400308079291,59.97677133751788,60.2225909565744
Age-related diseases,Zimbabwe,Both,2039,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19676.17436236539,21517.16385467584,60.08,59.98,60.22,60.08400308079291,59.97677133751788,60.2225909565744
Age-related diseases,Zimbabwe,Both,2040,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19676.17436236539,21517.16385467584,60.08,59.98,60.22,60.08400308079291,59.97677133751788,60.2225909565744
Age-related diseases,Zimbabwe,Female,2022,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19211.900703671887,21007.504490327854,61.45,61.16,61.70,61.45476091045519,61.15768950457264,61.69998746025177
Age-related diseases,Zimbabwe,Female,2023,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19211.900703671887,21007.504490327854,61.45,61.16,61.70,61.45476091045519,61.15768950457264,61.69998746025177
Age-related diseases,Zimbabwe,Female,2024,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19211.900703671887,21007.504490327854,61.45,61.16,61.70,61.45476091045519,61.15768950457264,61.69998746025177
Age-related diseases,Zimbabwe,Female,2025,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19211.900703671887,21007.504490327854,61.45,61.16,61.70,61.45476091045519,61.15768950457264,61.69998746025177
Age-related diseases,Zimbabwe,Female,2026,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19211.900703671887,21007.504490327854,61.45,61.16,61.70,61.45476091045519,61.15768950457264,61.69998746025177
Age-related diseases,Zimbabwe,Female,2027,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20766.576093634063,22565.749432419296,62.13,61.82,62.35,62.12539570523081,61.81773346799974,62.35099727742534
Age-related diseases,Zimbabwe,Female,2028,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20766.576093634063,22565.749432419296,62.13,61.82,62.35,62.12539570523081,61.81773346799974,62.35099727742534
Age-related diseases,Zimbabwe,Female,2029,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20766.576093634063,22565.749432419296,62.13,61.82,62.35,62.12539570523081,61.81773346799974,62.35099727742534
Age-related diseases,Zimbabwe,Female,2030,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20766.576093634063,22565.749432419296,62.13,61.82,62.35,62.12539570523081,61.81773346799974,62.35099727742534
Age-related diseases,Zimbabwe,Female,2031,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20766.576093634063,22565.749432419296,62.13,61.82,62.35,62.12539570523081,61.81773346799974,62.35099727742534
Age-related diseases,Zimbabwe,Female,2032,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20515.907144038836,22370.2523033431,62.80,62.52,63.02,62.79756098814984,62.51571936265915,63.01588775415374
Age-related diseases,Zimbabwe,Female,2033,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20515.907144038836,22370.2523033431,62.80,62.52,63.02,62.79756098814984,62.51571936265915,63.01588775415374
Age-related diseases,Zimbabwe,Female,2034,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20515.907144038836,22370.2523033431,62.80,62.52,63.02,62.79756098814984,62.51571936265915,63.01588775415374
Age-related diseases,Zimbabwe,Female,2035,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20515.907144038836,22370.2523033431,62.80,62.52,63.02,62.79756098814984,62.51571936265915,63.01588775415374
Age-related diseases,Zimbabwe,Female,2036,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20515.907144038836,22370.2523033431,62.80,62.52,63.02,62.79756098814984,62.51571936265915,63.01588775415374
Age-related diseases,Zimbabwe,Female,2037,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20284.038905694517,22163.41031118499,63.40,63.17,63.58,63.40381754326982,63.16522714662792,63.57724864771902
Age-related diseases,Zimbabwe,Female,2038,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20284.038905694517,22163.41031118499,63.40,63.17,63.58,63.40381754326982,63.16522714662792,63.57724864771902
Age-related diseases,Zimbabwe,Female,2039,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20284.038905694517,22163.41031118499,63.40,63.17,63.58,63.40381754326982,63.16522714662792,63.57724864771902
Age-related diseases,Zimbabwe,Female,2040,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20284.038905694517,22163.41031118499,63.40,63.17,63.58,63.40381754326982,63.16522714662792,63.57724864771902
Age-related diseases,Zimbabwe,Male,2022,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,20038.736454311726,21864.86047679399,54.12,53.95,54.31,54.11639886375717,53.95212946961279,54.30945827672071
Age-related diseases,Zimbabwe,Male,2023,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,20038.736454311726,21864.86047679399,54.12,53.95,54.31,54.11639886375717,53.95212946961279,54.30945827672071
Age-related diseases,Zimbabwe,Male,2024,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,20038.736454311726,21864.86047679399,54.12,53.95,54.31,54.11639886375717,53.95212946961279,54.30945827672071
Age-related diseases,Zimbabwe,Male,2025,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,20038.736454311726,21864.86047679399,54.12,53.95,54.31,54.11639886375717,53.95212946961279,54.30945827672071
Age-related diseases,Zimbabwe,Male,2026,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,20038.736454311726,21864.86047679399,54.12,53.95,54.31,54.11639886375717,53.95212946961279,54.30945827672071
Age-related diseases,Zimbabwe,Male,2027,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19772.53576342832,21575.27171360007,54.88,54.66,55.12,54.88218042147722,54.66233664728635,55.121828543723474
Age-related diseases,Zimbabwe,Male,2028,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19772.53576342832,21575.27171360007,54.88,54.66,55.12,54.88218042147722,54.66233664728635,55.121828543723474
Age-related diseases,Zimbabwe,Male,2029,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19772.53576342832,21575.27171360007,54.88,54.66,55.12,54.88218042147722,54.66233664728635,55.121828543723474
Age-related diseases,Zimbabwe,Male,2030,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19772.53576342832,21575.27171360007,54.88,54.66,55.12,54.88218042147722,54.66233664728635,55.121828543723474
Age-related diseases,Zimbabwe,Male,2031,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19772.53576342832,21575.27171360007,54.88,54.66,55.12,54.88218042147722,54.66233664728635,55.121828543723474
Age-related diseases,Zimbabwe,Male,2032,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19508.506186305287,21346.367320862053,55.55,55.30,55.83,55.545402872815394,55.29744380619554,55.83418013256774
Age-related diseases,Zimbabwe,Male,2033,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19508.506186305287,21346.367320862053,55.55,55.30,55.83,55.545402872815394,55.29744380619554,55.83418013256774
Age-related diseases,Zimbabwe,Male,2034,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19508.506186305287,21346.367320862053,55.55,55.30,55.83,55.545402872815394,55.29744380619554,55.83418013256774
Age-related diseases,Zimbabwe,Male,2035,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19508.506186305287,21346.367320862053,55.55,55.30,55.83,55.545402872815394,55.29744380619554,55.83418013256774
Age-related diseases,Zimbabwe,Male,2036,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19508.506186305287,21346.367320862053,55.55,55.30,55.83,55.545402872815394,55.29744380619554,55.83418013256774
Age-related diseases,Zimbabwe,Male,2037,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19223.338446898506,21118.70974319143,56.19,55.87,56.49,56.19010083082943,55.869610995886745,56.49456541507923
Age-related diseases,Zimbabwe,Male,2038,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19223.338446898506,21118.70974319143,56.19,55.87,56.49,56.19010083082943,55.869610995886745,56.49456541507923
Age-related diseases,Zimbabwe,Male,2039,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19223.338446898506,21118.70974319143,56.19,55.87,56.49,56.19010083082943,55.869610995886745,56.49456541507923
Age-related diseases,Zimbabwe,Male,2040,20811.69781556395,20343.491077959192,21279.427882736694,50 to 54,55 to 59,19223.338446898506,21118.70974319143,56.19,55.87,56.49,56.19010083082943,55.869610995886745,56.49456541507923
Cardiovascular diseases,Demo region,Both,2022,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12223.828189650303,13237.0301498022,69.92,69.89,69.95,69.9204679219364,69.88760475108614,69.94643502328516
Cardiovascular diseases,Demo region,Both,2023,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12224.321913044014,13241.37822881204,69.91,69.87,69.93,69.9069729574075,69.87388213056651,69.93322256695942
Cardiovascular diseases,Demo region,Both,2024,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12223.853535942015,13246.27331164587,69.89,69.86,69.92,69.89401394800994,69.86076595050997,69.92051028648655
Cardiovascular diseases,Demo region,Both,2025,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12223.069131438942,13249.910776704195,69.89,69.85,69.91,69.88537100904021,69.85204941551594,69.91201897828905
Cardiovascular diseases,Demo region,Both,2026,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12222.096913255049,13252.294977838768,69.88,69.85,69.91,69.88068897337926,69.84736218375167,69.90740563212881
Cardiovascular diseases,Demo region,Both,2027,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12096.26619911053,13126.436365045458,70.49,70.45,70.53,70.49149479833875,70.45330122657025,70.531673239251
Cardiovascular diseases,Demo region,Both,2028,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12094.888729067388,13127.142755507202,70.49,70.45,70.53,70.49111849765345,70.45299891147823,70.53125192662559
Cardiovascular diseases,Demo region,Both,2029,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12093.83724017644,13126.747144172465,70.49,70.46,70.53,70.49399164096883,70.45597765634054,70.53403121518213
Cardiovascular diseases,Demo region,Both,2030,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12093.092335962361,13126.085474578183,70.50,70.46,70.54,70.49731567079654,70.4593965529074,70.537264431642825
Cardiovascular diseases,Demo region,Both,2031,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12094.354834005531,13125.265588331997,70.50,70.46,70.54,70.49825684343236,70.4602798639341,70.53823513528462
Cardiovascular diseases,Demo region,Both,2032,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11992.917288040771,13029.417312465914,70.97,70.93,71.02,70.96871995579143,70.92921518204838,71.01714938214917
Cardiovascular diseases,Demo region,Both,2033,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11994.019662464749,13028.264409056275,70.97,70.93,71.02,70.9720447916541,70.932564398095,71.02046139637942
Cardiovascular diseases,Demo region,Both,2034,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11996.410606691881,13027.387206503914,70.97,70.93,71.02,70.97304045368791,70.93346378458942,71.02155360643201
Cardiovascular diseases,Demo region,Both,2035,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11999.469929901828,13026.77618077218,70.97,70.93,71.02,70.97234526544713,70.93259695579407,71.02102237512365
Cardiovascular diseases,Demo region,Both,2036,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12001.247961706067,13027.87630529908,70.97,70.93,71.02,70.96630873110018,70.92632395064429,71.01519472560496
Cardiovascular diseases,Demo region,Both,2037,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11900.890041797044,12956.638036000462,71.33,71.28,71.38,71.33220293805432,71.28416361234075,71.383403612749
Cardiovascular diseases,Demo region,Both,2038,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11904.48946078196,12957.591673603143,71.33,71.28,71.38,71.32599743115533,71.27766803950158,71.37747121347235
Cardiovascular diseases,Demo region,Both,2039,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11908.192210917668,12959.63200988467,71.32,71.27,71.37,71.31522919446982,71.26653934452989,71.36706272677993
Cardiovascular diseases,Demo region,Both,2040,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,11913.032432859185,12962.236000965822,71.30,71.25,71.35,71.30136033102359,71.25219923916133,71.35366098112883
Cardiovascular diseases,Demo region,Female,2022,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12583.799283976894,13605.190842748556,73.13,73.10,73.19,73.13489125838066,73.10160581024793,73.1867368904891
Cardiovascular diseases,Demo region,Female,2023,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12589.006911140568,13604.230794923573,73.12,73.08,73.17,73.11613825651247,73.08215682583825,73.16856404891237
Cardiovascular diseases,Demo region,Female,2024,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12594.89916593262,13603.897806274257,73.09,73.06,73.15,73.09382599493041,73.05905527231778,73.14689982557884
Cardiovascular diseases,Demo region,Female,2025,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12599.463273781914,13604.389996095237,73.08,73.04,73.13,73.07554946884143,73.04017152194186,73.12911179180827
Cardiovascular diseases,Demo region,Female,2026,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12602.679152347646,13605.338421060425,73.06,73.03,73.12,73.06194501243374,73.0261467768473,73.11583724949605
Cardiovascular diseases,Demo region,Female,2027,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12478.281989848554,13508.646403124423,73.64,73.57,73.69,73.63704685482362,73.56902443005107,73.69214377729688
Cardiovascular diseases,Demo region,Female,2028,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12479.43717834972,13512.911575746675,73.63,73.56,73.68,73.62653171070667,73.55841429658564,73.68159841317274
Cardiovascular diseases,Demo region,Female,2029,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12479.223642466479,13517.529167587425,73.62,73.55,73.67,73.61999191787976,73.5520450778029,73.67485558427808
Cardiovascular diseases,Demo region,Female,2030,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12478.595591663085,13521.107744326364,73.62,73.55,73.67,73.61646730802869,73.5487376040044,73.67112117393395
Cardiovascular diseases,Demo region,Female,2031,12815.632954263645,12520.994761780714,13120.519185982132,70 to 74,75 to 79,12477.708185496276,13523.617314919775,73.62,73.55,73.67,73.6154595043722,73.54796309551911,73.66991581366923
