cause,location,sex,age,year,point_estimate,lower,upper
Age-related diseases,Zimbabwe,Female,30 to 34,2033,10050.992750819078,9988.911299199033,10085.65328926473
Age-related diseases,Zimbabwe,Female,35 to 39,2033,11572.152101677113,11531.913962395998,11607.958528145991
Age-related diseases,Zimbabwe,Female,40 to 44,2033,13100.705464297587,13068.668371488544,13139.01066270793
Age-related diseases,Zimbabwe,Female,45 to 49,2033,14952.939448704015,14874.033278393352,14994.65237659866
Age-related diseases,Zimbabwe,Female,50 to 54,2033,16798.324972936127,16743.26016743554,16873.58425249329
Age-related diseases,Zimbabwe,Female,55 to 59,2033,18655.064254907844,18560.810198530547,18731.423894106356
Age-related diseases,Zimbabwe,Female,60 to 64,2033,20515.907144038836,20435.14003719109,20619.039601574514
Age-related diseases,Zimbabwe,Female,65 to 69,2033,22370.2523033431,22288.48346432269,22486.89863440252
Age-related diseases,Zimbabwe,Female,70 to 74,2033,24226.444047258272,24117.89839099273,24321.0380297453
Age-related diseases,Zimbabwe,Female,75 to 79,2033,25999.066293166823,25870.04760927606,26130.82094298961
Age-related diseases,Zimbabwe,Female,80 to 84,2033,27881.091384270705,27738.163033130808,28168.923470512258
Age-related diseases,Zimbabwe,Female,85 to 89,2033,29735.06149522543,29419.93703603077,29909.842775277906
Age-related diseases,Zimbabwe,Female,90 to 94,2033,31636.119225466162,31316.254831427876,32022.083173593815
Age-related diseases,Zimbabwe,Female,25 to 29,2034,8530.089946271533,8477.61791869737,8567.64183461119
Age-related diseases,Zimbabwe,Female,30 to 34,2034,10050.992750819078,9988.911299199033,10085.65328926473
Age-related diseases,Zimbabwe,Female,35 to 39,2034,11572.152101677113,11531.913962395998,11607.958528145991
Age-related diseases,Zimbabwe,Female,40 to 44,2034,13100.705464297587,13068.668371488544,13139.01066270793
Age-related diseases,Zimbabwe,Female,45 to 49,2034,14952.939448704015,14874.033278393352,14994.65237659866
Age-related diseases,Zimbabwe,Female,50 to 54,2034,16798.324972936127,16743.26016743554,16873.58425249329
Age-related diseases,Zimbabwe,Female,55 to 59,2034,18655.064254907844,18560.810198530547,18731.423894106356
Age-related diseases,Zimbabwe,Female,60 to 64,2034,20515.907144038836,20435.14003719109,20619.039601574514
Age-related diseases,Zimbabwe,Female,65 to 69,2034,22370.2523033431,22288.48346432269,22486.89863440252
Age-related diseases,Zimbabwe,Female,70 to 74,2034,24226.444047258272,24117.89839099273,24321.0380297453
Age-related diseases,Zimbabwe,Female,75 to 79,2034,25999.066293166823,25870.04760927606,26130.82094298961
Age-related diseases,Zimbabwe,Female,80 to 84,2034,27881.091384270705,27738.163033130808,28168.923470512258
Age-related diseases,Zimbabwe,Female,85 to 89,2034,29735.06149522543,29419.93703603077,29909.842775277906
Age-related diseases,Zimbabwe,Female,90 to 94,2034,31636.119225466162,31316.254831427876,32022.083173593815
Age-related diseases,Zimbabwe,Female,25 to 29,2035,8530.089946271533,8477.61791869737,8567.64183461119
Age-related diseases,Zimbabwe,Female,30 to 34,2035,10050.992750819078,9988.911299199033,10085.65328926473
Age-related diseases,Zimbabwe,Female,35 to 39,2035,11572.152101677113,11531.913962395998,11607.958528145991
Age-related diseases,Zimbabwe,Female,40 to 44,2035,13100.705464297587,13068.668371488544,13139.01066270793
Age-related diseases,Zimbabwe,Female,45 to 49,2035,14952.939448704015,14874.033278393352,14994.65237659866
Age-related diseases,Zimbabwe,Female,50 to 54,2035,16798.324972936127,16743.26016743554,16873.58425249329
Age-related diseases,Zimbabwe,Female,55 to 59,2035,18655.064254907844,18560.810198530547,18731.423894106356
Age-related diseases,Zimbabwe,Female,60 to 64,2035,20515.907144038836,20435.14003719109,20619.039601574514
Age-related diseases,Zimbabwe,Female,65 to 69,2035,22370.2523033431,22288.48346432269,22486.89863440252
Age-related diseases,Zimbabwe,Female,70 to 74,2035,24226.444047258272,24117.89839099273,24321.0380297453
Age-related diseases,Zimbabwe,Female,75 to 79,2035,25999.066293166823,25870.04760927606,26130.82094298961
Age-related diseases,Zimbabwe,Female,80 to 84,2035,27881.091384270705,27738.163033130808,28168.923470512258
Age-related diseases,Zimbabwe,Female,85 to 89,2035,29735.06149522543,29419.93703603077,29909.842775277906
Age-related diseases,Zimbabwe,Female,90 to 94,2035,31636.119225466162,31316.254831427876,32022.083173593815
Age-related diseases,Zimbabwe,Female,25 to 29,2036,8530.089946271533,8477.61791869737,8567.64183461119
Age-related diseases,Zimbabwe,Female,30 to 34,2036,10050.992750819078,9988.911299199033,10085.65328926473
Age-related diseases,Zimbabwe,Female,35 to 39,2036,11572.152101677113,11531.913962395998,11607.958528145991
Age-related diseases,Zimbabwe,Female,40 to 44,2036,13100.705464297587,13068.668371488544,13139.01066270793
Age-related diseases,Zimbabwe,Female,45 to 49,2036,14952.939448704015,14874.033278393352,14994.65237659866
Age-related diseases,Zimbabwe,Female,50 to 54,2036,16798.324972936127,16743.26016743554,16873.58425249329
Age-related diseases,Zimbabwe,Female,55 to 59,2036,18655.064254907844,18560.810198530547,18731.423894106356
Age-related diseases,Zimbabwe,Female,60 to 64,2036,20515.907144038836,20435.14003719109,20619.039601574514
Age-related diseases,Zimbabwe,Female,65 to 69,2036,22370.2523033431,22288.48346432269,22486.89863440252
Age-related diseases,Zimbabwe,Female,70 to 74,2036,24226.444047258272,24117.89839099273,24321.0380297453
Age-related diseases,Zimbabwe,Female,75 to 79,2036,25999.066293166823,25870.04760927606,26130.82094298961
Age-related diseases,Zimbabwe,Female,80 to 84,2036,27881.091384270705,27738.163033130808,28168.923470512258
Age-related diseases,Zimbabwe,Female,85 to 89,2036,29735.06149522543,29419.93703603077,29909.842775277906
Age-related diseases,Zimbabwe,Female,90 to 94,2036,31636.119225466162,31316.254831427876,32022.083173593815
Age-related diseases,Zimbabwe,Female,25 to 29,2037,8502.517688472886,8445.52971581531,8543.567053244771
Age-related diseases,Zimbabwe,Female,30 to 34,2037,10019.55001267478,9952.96807184922,10055.883833329091
Age-related diseases,Zimbabwe,Female,35 to 39,2037,11536.95363484415,11491.588756725758,11575.297291846398
Age-related diseases,Zimbabwe,Female,40 to 44,2037,13061.831985544482,13029.426939127994,13101.797361996156
Age-related diseases,Zimbabwe,Female,45 to 49,2037,14612.46590830869,14579.065038018314,14657.231064900068
Age-related diseases,Zimbabwe,Female,50 to 54,2037,16498.912505217522,16439.13596268194,16558.509253374526
Age-related diseases,Zimbabwe,Female,55 to 59,2037,18390.28640880955,18316.737480111624,18482.81587027995
Age-related diseases,Zimbabwe,Female,60 to 64,2037,20284.038905694517,20218.861539466798,20361.134112084696
Age-related diseases,Zimbabwe,Female,65 to 69,2037,22163.41031118499,22098.19831035103,22294.506951805917
Age-related diseases,Zimbabwe,Female,70 to 74,2037,24082.766516471977,24003.94345729386,24169.551089183857
Age-related diseases,Zimbabwe,Female,75 to 79,2037,25889.67565503877,25735.567262781075,26036.225959356463
Age-related diseases,Zimbabwe,Female,80 to 84,2037,27768.585352164508,27645.82010675253,28039.516191272087
Age-related diseases,Zimbabwe,Female,85 to 89,2037,29664.09980685062,29360.007766660026,29818.24649075479
Age-related diseases,Zimbabwe,Female,90 to 94,2037,31594.366441705228,31289.415898954347,31937.781721183277
Age-related diseases,Zimbabwe,Female,25 to 29,2038,8502.517688472886,8445.52971581531,8543.567053244771
Age-related diseases,Zimbabwe,Female,30 to 34,2038,10019.55001267478,9952.96807184922,10055.883833329091
Age-related diseases,Zimbabwe,Female,35 to 39,2038,11536.95363484415,11491.588756725758,11575.297291846398
Age-related diseases,Zimbabwe,Female,40 to 44,2038,13061.831985544482,13029.426939127994,13101.797361996156
Age-related diseases,Zimbabwe,Female,45 to 49,2038,14612.46590830869,14579.065038018314,14657.231064900068
Age-related diseases,Zimbabwe,Female,50 to 54,2038,16498.912505217522,16439.13596268194,16558.509253374526
Age-related diseases,Zimbabwe,Female,55 to 59,2038,18390.28640880955,18316.737480111624,18482.81587027995
Age-related diseases,Zimbabwe,Female,60 to 64,2038,20284.038905694517,20218.861539466798,20361.134112084696
Age-related diseases,Zimbabwe,Female,65 to 69,2038,22163.41031118499,22098.19831035103,22294.506951805917
Age-related diseases,Zimbabwe,Female,70 to 74,2038,24082.766516471977,24003.94345729386,24169.551089183857
Age-related diseases,Zimbabwe,Female,75 to 79,2038,25889.67565503877,25735.567262781075,26036.225959356463
Age-related diseases,Zimbabwe,Female,80 to 84,2038,27768.585352164508,27645.82010675253,28039.516191272087
Age-related diseases,Zimbabwe,Female,85 to 89,2038,29664.09980685062,29360.007766660026,29818.24649075479
Age-related diseases,Zimbabwe,Female,90 to 94,2038,31594.366441705228,31289.415898954347,31937.781721183277
Age-related diseases,Zimbabwe,Female,25 to 29,2039,8502.517688472886,8445.52971581531,8543.567053244771
Age-related diseases,Zimbabwe,Female,30 to 34,2039,10019.55001267478,9952.96807184922,10055.883833329091
Age-related diseases,Zimbabwe,Female,35 to 39,2039,11536.95363484415,11491.588756725758,11575.297291846398
Age-related diseases,Zimbabwe,Female,40 to 44,2039,13061.831985544482,13029.426939127994,13101.797361996156
Age-related diseases,Zimbabwe,Female,45 to 49,2039,14612.46590830869,14579.065038018314,14657.231064900068
Age-related diseases,Zimbabwe,Female,50 to 54,2039,16498.912505217522,16439.13596268194,16558.509253374526
Age-related diseases,Zimbabwe,Female,55 to 59,2039,18390.28640880955,18316.737480111624,18482.81587027995
Age-related diseases,Zimbabwe,Female,60 to 64,2039,20284.038905694517,20218.861539466798,20361.134112084696
Age-related diseases,Zimbabwe,Female,65 to 69,2039,22163.41031118499,22098.19831035103,22294.506951805917
Age-related diseases,Zimbabwe,Female,70 to 74,2039,24082.766516471977,24003.94345729386,24169.551089183857
Age-related diseases,Zimbabwe,Female,75 to 79,2039,25889.67565503877,25735.567262781075,26036.225959356463
Age-related diseases,Zimbabwe,Female,80 to 84,2039,27768.585352164508,27645.82010675253,28039.516191272087
Age-related diseases,Zimbabwe,Female,85 to 89,2039,29664.09980685062,29360.007766660026,29818.24649075479
Age-related diseases,Zimbabwe,Female,90 to 94,2039,31594.366441705228,31289.415898954347,31937.781721183277
Age-related diseases,Zimbabwe,Female,25 to 29,2040,8502.517688472886,8445.52971581531,8543.567053244771
Age-related diseases,Zimbabwe,Female,30 to 34,2040,10019.55001267478,9952.96807184922,10055.883833329091
Age-related diseases,Zimbabwe,Female,35 to 39,2040,11536.95363484415,11491.588756725758,11575.297291846398
Age-related diseases,Zimbabwe,Female,40 to 44,2040,13061.831985544482,13029.426939127994,13101.797361996156
Age-related diseases,Zimbabwe,Female,45 to 49,2040,14612.46590830869,14579.065038018314,14657.231064900068
Age-related diseases,Zimbabwe,Female,50 to 54,2040,16498.912505217522,16439.13596268194,16558.509253374526
Age-related diseases,Zimbabwe,Female,55 to 59,2040,18390.28640880955,18316.737480111624,18482.81587027995
Age-related diseases,Zimbabwe,Female,60 to 64,2040,20284.038905694517,20218.861539466798,20361.134112084696
Age-related diseases,Zimbabwe,Female,65 to 69,2040,22163.41031118499,22098.19831035103,22294.506951805917
Age-related diseases,Zimbabwe,Female,70 to 74,2040,24082.766516471977,24003.94345729386,24169.551089183857
Age-related diseases,Zimbabwe,Female,75 to 79,2040,25889.67565503877,25735.567262781075,26036.225959356463
Age-related diseases,Zimbabwe,Female,80 to 84,2040,27768.585352164508,27645.82010675253,28039.516191272087
Age-related diseases,Zimbabwe,Female,85 to 89,2040,29664.09980685062,29360.007766660026,29818.24649075479
Age-related diseases,Zimbabwe,Female,90 to 94,2040,31594.366441705228,31289.415898954347,31937.781721183277
Age-related diseases,Zimbabwe,Male,25 to 29,2022,11310.105157075002,11288.088120559392,11326.253278154045
Age-related diseases,Zimbabwe,Male,30 to 34,2022,12891.799607813216,12870.790996339656,12923.923726090301
Age-related diseases,Zimbabwe,Male,35 to 39,2022,14645.80955025735,14580.61823283315,14708.497183117952
Age-related diseases,Zimbabwe,Male,40 to 44,2022,16458.611136640775,16414.451562622347,16525.938346412677
Age-related diseases,Zimbabwe,Male,45 to 49,2022,18257.99694663411,18210.009545481735,18313.745748141675
Age-related diseases,Zimbabwe,Male,50 to 54,2022,20038.736454311726,19968.140372177833,20092.173822261804
Age-related diseases,Zimbabwe,Male,55 to 59,2022,21864.86047679399,21794.45057636978,21935.094603138252
Age-related diseases,Zimbabwe,Male,60 to 64,2022,23633.227047542136,23551.276202573816,23680.708030213653
Age-related diseases,Zimbabwe,Male,65 to 69,2022,25451.03337679858,25362.53262199404,25493.82091826198
Age-related diseases,Zimbabwe,Male,70 to 74,2022,27221.436150273956,27149.25661793053,27278.557073155487
Age-related diseases,Zimbabwe,Male,75 to 79,2022,29026.782039995065,28921.63346824384,29091.251144361726
Age-related diseases,Zimbabwe,Male,80 to 84,2022,30867.063091385517,30782.82786536671,31013.6662189123
Age-related diseases,Zimbabwe,Male,85 to 89,2022,32658.897369159462,32471.558720634424,32852.61247096128
Age-related diseases,Zimbabwe,Male,90 to 94,2022,34481.41102359916,34072.97888480155,35181.59969988295
Age-related diseases,Zimbabwe,Male,25 to 29,2023,11310.105157075002,11288.088120559392,11326.253278154045
Age-related diseases,Zimbabwe,Male,30 to 34,2023,12891.799607813216,12870.790996339656,12923.923726090301
Age-related diseases,Zimbabwe,Male,35 to 39,2023,14645.80955025735,14580.61823283315,14708.497183117952
Age-related diseases,Zimbabwe,Male,40 to 44,2023,16458.611136640775,16414.451562622347,16525.938346412677
Age-related diseases,Zimbabwe,Male,45 to 49,2023,18257.99694663411,18210.009545481735,18313.745748141675
Age-related diseases,Zimbabwe,Male,50 to 54,2023,20038.736454311726,19968.140372177833,20092.173822261804
Age-related diseases,Zimbabwe,Male,55 to 59,2023,21864.86047679399,21794.45057636978,21935.094603138252
Age-related diseases,Zimbabwe,Male,60 to 64,2023,23633.227047542136,23551.276202573816,23680.708030213653
Age-related diseases,Zimbabwe,Male,65 to 69,2023,25451.03337679858,25362.53262199404,25493.82091826198
Age-related diseases,Zimbabwe,Male,70 to 74,2023,27221.436150273956,27149.25661793053,27278.557073155487
Age-related diseases,Zimbabwe,Male,75 to 79,2023,29026.782039995065,28921.63346824384,29091.251144361726
Age-related diseases,Zimbabwe,Male,80 to 84,2023,30867.063091385517,30782.82786536671,31013.6662189123
Age-related diseases,Zimbabwe,Male,85 to 89,2023,32658.897369159462,32471.558720634424,32852.61247096128
Age-related diseases,Zimbabwe,Male,90 to 94,2023,34481.41102359916,34072.97888480155,35181.59969988295
Age-related diseases,Zimbabwe,Male,25 to 29,2024,11310.105157075002,11288.088120559392,11326.253278154045
Age-related diseases,Zimbabwe,Male,30 to 34,2024,12891.799607813216,12870.790996339656,12923.923726090301
Age-related diseases,Zimbabwe,Male,35 to 39,2024,14645.80955025735,14580.61823283315,14708.497183117952
Age-related diseases,Zimbabwe,Male,40 to 44,2024,16458.611136640775,16414.451562622347,16525.938346412677
Age-related diseases,Zimbabwe,Male,45 to 49,2024,18257.99694663411,18210.009545481735,18313.745748141675
Age-related diseases,Zimbabwe,Male,50 to 54,2024,20038.736454311726,19968.140372177833,20092.173822261804
Age-related diseases,Zimbabwe,Male,55 to 59,2024,21864.86047679399,21794.45057636978,21935.094603138252
Age-related diseases,Zimbabwe,Male,60 to 64,2024,23633.227047542136,23551.276202573816,23680.708030213653
Age-related diseases,Zimbabwe,Male,65 to 69,2024,25451.03337679858,25362.53262199404,25493.82091826198
Age-related diseases,Zimbabwe,Male,70 to 74,2024,27221.436150273956,27149.25661793053,27278.557073155487
Age-related diseases,Zimbabwe,Male,75 to 79,2024,29026.782039995065,28921.63346824384,29091.251144361726
Age-related diseases,Zimbabwe,Male,80 to 84,2024,30867.063091385517,30782.82786536671,31013.6662189123
Age-related diseases,Zimbabwe,Male,85 to 89,2024,32658.897369159462,32471.558720634424,32852.61247096128
Age-related diseases,Zimbabwe,Male,90 to 94,2024,34481.41102359916,34072.97888480155,35181.59969988295
Age-related diseases,Zimbabwe,Male,25 to 29,2025,11310.105157075002,11288.088120559392,11326.253278154045
Age-related diseases,Zimbabwe,Male,30 to 34,2025,12891.799607813216,12870.790996339656,12923.923726090301
Age-related diseases,Zimbabwe,Male,35 to 39,2025,14645.80955025735,14580.61823283315,14708.497183117952
Age-related diseases,Zimbabwe,Male,40 to 44,2025,16458.611136640775,16414.451562622347,16525.938346412677
Age-related diseases,Zimbabwe,Male,45 to 49,2025,18257.99694663411,18210.009545481735,18313.745748141675
Age-related diseases,Zimbabwe,Male,50 to 54,2025,20038.736454311726,19968.140372177833,20092.173822261804
Age-related diseases,Zimbabwe,Male,55 to 59,2025,21864.86047679399,21794.45057636978,21935.094603138252
Age-related diseases,Zimbabwe,Male,60 to 64,2025,23633.227047542136,23551.276202573816,23680.708030213653
Age-related diseases,Zimbabwe,Male,65 to 69,2025,25451.03337679858,25362.53262199404,25493.82091826198
Age-related diseases,Zimbabwe,Male,70 to 74,2025,27221.436150273956,27149.25661793053,27278.557073155487
Age-related diseases,Zimbabwe,Male,75 to 79,2025,29026.782039995065,28921.63346824384,29091.251144361726
Age-related diseases,Zimbabwe,Male,80 to 84,2025,30867.063091385517,30782.82786536671,31013.6662189123
Age-related diseases,Zimbabwe,Male,85 to 89,2025,32658.897369159462,32471.558720634424,32852.61247096128
Age-related diseases,Zimbabwe,Male,90 to 94,2025,34481.41102359916,34072.97888480155,35181.59969988295
Age-related diseases,Zimbabwe,Male,25 to 29,2026,11310.105157075002,11288.088120559392,11326.253278154045
Age-related diseases,Zimbabwe,Male,30 to 34,2026,12891.799607813216,12870.790996339656,12923.923726090301
Age-related diseases,Zimbabwe,Male,35 to 39,2026,14645.80955025735,14580.61823283315,14708.497183117952
Age-related diseases,Zimbabwe,Male,40 to 44,2026,16458.611136640775,16414.451562622347,16525.938346412677
Age-related diseases,Zimbabwe,Male,45 to 49,2026,18257.99694663411,18210.009545481735,18313.745748141675
Age-related diseases,Zimbabwe,Male,50 to 54,2026,20038.736454311726,19968.140372177833,20092.173822261804
Age-related diseases,Zimbabwe,Male,55 to 59,2026,21864.86047679399,21794.45057636978,21935.094603138252
Age-related diseases,Zimbabwe,Male,60 to 64,2026,23633.227047542136,23551.276202573816,23680.708030213653
Age-related diseases,Zimbabwe,Male,65 to 69,2026,25451.03337679858,25362.53262199404,25493.82091826198
Age-related diseases,Zimbabwe,Male,70 to 74,2026,27221.436150273956,27149.25661793053,27278.557073155487
Age-related diseases,Zimbabwe,Male,75 to 79,2026,29026.782039995065,28921.63346824384,29091.251144361726
Age-related diseases,Zimbabwe,Male,80 to 84,2026,30867.063091385517,30782.82786536671,31013.6662189123
Age-related diseases,Zimbabwe,Male,85 to 89,2026,32658.897369159462,32471.558720634424,32852.61247096128
Age-related diseases,Zimbabwe,Male,90 to 94,2026,34481.41102359916,34072.97888480155,35181.59969988295
Age-related diseases,Zimbabwe,Male,25 to 29,2027,11213.717544198711,11176.49681784787,11246.80906408315
Age-related diseases,Zimbabwe,Male,30 to 34,2027,12784.756080856205,12757.005329333278,12832.948846476207
Age-related diseases,Zimbabwe,Male,35 to 39,2027,14355.71254922252,14317.350346942578,14387.146357617725
Age-related diseases,Zimbabwe,Male,40 to 44,2027,16123.919470974737,16045.971544427617,16228.867004645932
Age-related diseases,Zimbabwe,Male,45 to 49,2027,17963.555183791916,17897.508199067222,18041.195036966612
Age-related diseases,Zimbabwe,Male,50 to 54,2027,19772.53576342832,19671.302009470153,19846.879115835807
Age-related diseases,Zimbabwe,Male,55 to 59,2027,21575.27171360007,21497.788938719674,21658.856389092285
Age-related diseases,Zimbabwe,Male,60 to 64,2027,23405.270220797967,23296.536840944773,23461.387549389434
Age-related diseases,Zimbabwe,Male,65 to 69,2027,25209.55391320698,25085.59573163178,25285.60663168832
Age-related diseases,Zimbabwe,Male,70 to 74,2027,27007.585437068185,26952.913731077733,27090.391277539344
Age-related diseases,Zimbabwe,Male,75 to 79,2027,28818.2104852111,28708.185561400023,28892.740776273196
Age-related diseases,Zimbabwe,Male,80 to 84,2027,30680.101048805715,30549.738370131094,30800.00674787689
Age-related diseases,Zimbabwe,Male,85 to 89,2027,32484.611279234436,32309.37897746441,32722.731022579395
Age-related diseases,Zimbabwe,Male,90 to 94,2027,34255.72073769313,33795.867692800035,34870.65483862876
Age-related diseases,Zimbabwe,Male,25 to 29,2028,11213.717544198711,11176.49681784787,11246.80906408315
Age-related diseases,Zimbabwe,Male,30 to 34,2028,12784.756080856205,12757.005329333278,12832.948846476207
Age-related diseases,Zimbabwe,Male,35 to 39,2028,14355.71254922252,14317.350346942578,14387.146357617725
Age-related diseases,Zimbabwe,Male,40 to 44,2028,16123.919470974737,16045.971544427617,16228.867004645932
Age-related diseases,Zimbabwe,Male,45 to 49,2028,17963.555183791916,17897.508199067222,18041.195036966612
Age-related diseases,Zimbabwe,Male,50 to 54,2028,19772.53576342832,19671.302009470153,19846.879115835807
Age-related diseases,Zimbabwe,Male,55 to 59,2028,21575.27171360007,21497.788938719674,21658.856389092285
Age-related diseases,Zimbabwe,Male,60 to 64,2028,23405.270220797967,23296.536840944773,23461.387549389434
Age-related diseases,Zimbabwe,Male,65 to 69,2028,25209.55391320698,25085.59573163178,25285.60663168832
Age-related diseases,Zimbabwe,Male,70 to 74,2028,27007.585437068185,26952.913731077733,27090.391277539344
Age-related diseases,Zimbabwe,Male,75 to 79,2028,28818.2104852111,28708.185561400023,28892.740776273196
Age-related diseases,Zimbabwe,Male,80 to 84,2028,30680.101048805715,30549.738370131094,30800.00674787689
Age-related diseases,Zimbabwe,Male,85 to 89,2028,32484.611279234436,32309.37897746441,32722.731022579395
Age-related diseases,Zimbabwe,Male,90 to 94,2028,34255.72073769313,33795.867692800035,34870.65483862876
Age-related diseases,Zimbabwe,Male,25 to 29,2029,11213.717544198711,11176.49681784787,11246.80906408315
Age-related diseases,Zimbabwe,Male,30 to 34,2029,12784.756080856205,12757.005329333278,12832.948846476207
Age-related diseases,Zimbabwe,Male,35 to 39,2029,14355.71254922252,14317.350346942578,14387.146357617725
Age-related diseases,Zimbabwe,Male,40 to 44,2029,16123.919470974737,16045.971544427617,16228.867004645932
Age-related diseases,Zimbabwe,Male,45 to 49,2029,17963.555183791916,17897.508199067222,18041.195036966612
Age-related diseases,Zimbabwe,Male,50 to 54,2029,19772.53576342832,19671.302009470153,19846.879115835807
Age-related diseases,Zimbabwe,Male,55 to 59,2029,21575.27171360007,21497.788938719674,21658.856389092285
Age-related diseases,Zimbabwe,Male,60 to 64,2029,23405.270220797967,23296.536840944773,23461.387549389434
Age-related diseases,Zimbabwe,Male,65 to 69,2029,25209.55391320698,25085.59573163178,25285.60663168832
Age-related diseases,Zimbabwe,Male,70 to 74,2029,27007.585437068185,26952.913731077733,27090.391277539344
Age-related diseases,Zimbabwe,Male,75 to 79,2029,28818.2104852111,28708.185561400023,28892.740776273196
Age-related diseases,Zimbabwe,Male,80 to 84,2029,30680.101048805715,30549.738370131094,30800.00674787689
Age-related diseases,Zimbabwe,Male,85 to 89,2029,32484.611279234436,32309.37897746441,32722.731022579395
Age-related diseases,Zimbabwe,Male,90 to 94,2029,34255.72073769313,33795.867692800035,34870.65483862876
Age-related diseases,Zimbabwe,Male,25 to 29,2030,11213.717544198711,11176.49681784787,11246.80906408315
Age-related diseases,Zimbabwe,Male,30 to 34,2030,12784.756080856205,12757.005329333278,12832.948846476207
Age-related diseases,Zimbabwe,Male,35 to 39,2030,14355.71254922252,14317.350346942578,14387.146357617725
Age-related diseases,Zimbabwe,Male,40 to 44,2030,16123.919470974737,16045.971544427617,16228.867004645932
Age-related diseases,Zimbabwe,Male,45 to 49,2030,17963.555183791916,17897.508199067222,18041.195036966612
Age-related diseases,Zimbabwe,Male,50 to 54,2030,19772.53576342832,19671.302009470153,19846.879115835807
Age-related diseases,Zimbabwe,Male,55 to 59,2030,21575.27171360007,21497.788938719674,21658.856389092285
Age-related diseases,Zimbabwe,Male,60 to 64,2030,23405.270220797967,23296.536840944773,23461.387549389434
Age-related diseases,Zimbabwe,Male,65 to 69,2030,25209.55391320698,25085.59573163178,25285.60663168832
Age-related diseases,Zimbabwe,Male,70 to 74,2030,27007.585437068185,26952.913731077733,27090.391277539344
Age-related diseases,Zimbabwe,Male,75 to 79,2030,28818.2104852111,28708.185561400023,28892.740776273196
Age-related diseases,Zimbabwe,Male,80 to 84,2030,30680.101048805715,30549.738370131094,30800.00674787689
Age-related diseases,Zimbabwe,Male,85 to 89,2030,32484.611279234436,32309.37897746441,32722.731022579395
Age-related diseases,Zimbabwe,Male,90 to 94,2030,34255.72073769313,33795.867692800035,34870.65483862876
Age-related diseases,Zimbabwe,Male,25 to 29,2031,11213.717544198711,11176.49681784787,11246.80906408315
Age-related diseases,Zimbabwe,Male,30 to 34,2031,12784.756080856205,12757.005329333278,12832.948846476207
Age-related diseases,Zimbabwe,Male,35 to 39,2031,14355.71254922252,14317.350346942578,14387.146357617725
Age-related diseases,Zimbabwe,Male,40 to 44,2031,16123.919470974737,16045.971544427617,16228.867004645932
Age-related diseases,Zimbabwe,Male,45 to 49,2031,17963.555183791916,17897.508199067222,18041.195036966612
Age-related diseases,Zimbabwe,Male,50 to 54,2031,19772.53576342832,19671.302009470153,19846.879115835807
Age-related diseases,Zimbabwe,Male,55 to 59,2031,21575.27171360007,21497.788938719674,21658.856389092285
Age-related diseases,Zimbabwe,Male,60 to 64,2031,23405.270220797967,23296.536840944773,23461.387549389434
Age-related diseases,Zimbabwe,Male,65 to 69,2031,25209.55391320698,25085.59573163178,25285.60663168832
Age-related diseases,Zimbabwe,Male,70 to 74,2031,27007.585437068185,26952.913731077733,27090.391277539344
Age-related diseases,Zimbabwe,Male,75 to 79,2031,28818.2104852111,28708.185561400023,28892.740776273196
Age-related diseases,Zimbabwe,Male,80 to 84,2031,30680.101048805715,30549.738370131094,30800.00674787689
Age-related diseases,Zimbabwe,Male,85 to 89,2031,32484.611279234436,32309.37897746441,32722.731022579395
Age-related diseases,Zimbabwe,Male,90 to 94,2031,34255.72073769313,33795.867692800035,34870.65483862876
Age-related diseases,Zimbabwe,Male,25 to 29,2032,11149.831529395226,11102.375920458164,11194.0944463267
Age-related diseases,Zimbabwe,Male,30 to 34,2032,12713.796631128625,12674.409288281107,12773.448996240411
Age-related diseases,Zimbabwe,Male,35 to 39,2032,14277.84823197692,14237.715972072474,14321.942806111587
Age-related diseases,Zimbabwe,Male,40 to 44,2032,15852.761264223269,15802.096227619539,15916.400707737415
Age-related diseases,Zimbabwe,Male,45 to 49,2032,17650.551108680524,17531.96797110443,17777.25179166448
Age-related diseases,Zimbabwe,Male,50 to 54,2032,19508.506186305287,19397.683716222477,19608.793913687332
Age-related diseases,Zimbabwe,Male,55 to 59,2032,21346.367320862053,21241.64259458967,21432.788457000694
Age-related diseases,Zimbabwe,Male,60 to 64,2032,23156.59251755791,23047.51870394199,23252.912249901827
Age-related diseases,Zimbabwe,Male,65 to 69,2032,25030.33792980266,24866.64026703968,25118.055809023415
Age-related diseases,Zimbabwe,Male,70 to 74,2032,26818.601597683028,26726.916284143517,26912.284061260194
Age-related diseases,Zimbabwe,Male,75 to 79,2032,28662.1666796648,28533.20874908774,28751.42005702194
Age-related diseases,Zimbabwe,Male,80 to 84,2032,30533.342191373733,30432.30530560017,30665.40597637985
Age-related diseases,Zimbabwe,Male,85 to 89,2032,32364.5263786623,32217.002910749452,32599.389758638317
Age-related diseases,Zimbabwe,Male,90 to 94,2032,34152.990223915156,33661.31776065665,34887.73081150932
Age-related diseases,Zimbabwe,Male,25 to 29,2033,11149.831529395226,11102.375920458164,11194.0944463267
Age-related diseases,Zimbabwe,Male,30 to 34,2033,12713.796631128625,12674.409288281107,12773.448996240411
Age-related diseases,Zimbabwe,Male,35 to 39,2033,14277.84823197692,14237.715972072474,14321.942806111587
